Keyword,VendorCode,VendorName,Email To,Email CC,MC ,Buyer
,9988,BESTEK ELECTRONICS (VIETNAM) COMPANY LIMITED,emily@szbtk.com; daffodilvn@szbtk.com; chans@szbtk.com; vnac02@szbtk.com; soraya@szbtk.com; vn_sales06@szbtk.com; ssab06@szbtk.com,ThiThanhMai.Vo@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiThanhMai.Vo@ttigroup.com.vn,"TVN536662, Vo Thi Thanh Mai (VN.OP-SC)"
,9683,BR VINA PACKING COMPANY LIMITED,brvina2@gmail.com;bromega888@gmail.com; brvina.op@gmail.com,HoangMinh.Phan@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,HoangMinh.Phan@ttigroup.com.vn,"TVN547430, Phan Hoang Minh (VN.OP-PMC)"
,11535,BRILLIANT PRINTING COMPANY LIMITED,sd1@brilliant88.com; nganltk5@gmail.com; tristakhor <tristakhor@hotmail.my,ThanhYen.Tran@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThanhYen.Tran@ttigroup.com.vn,"TVN172, Tran Thanh Yen - TTIVN"
,9479,CAMEX VIET NAM CO LTD.,huong@camex.com.vn;camex.sale01@camex.com.vn;camex.sale07@camex.com.vn;camex.sale08@camex.com.vn,VanDuc.Nguyen1@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,VanDuc.Nguyen1@ttigroup.com.vn,"TVN622655, Nguyen Van Duc (VN.OP-SUC)"
,13239,CARBON COMPOSITE MATERIAL PRODUCTS COMPANY LIMITED,sales.vn@zskabang.com; kabang.vn@gmail.com; kabang.business@gmail.com; kabang.vn1@gmail.com; jackywang@zskabang.com;sales2@carbontechvn.com,BaoYen.Lam@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;NgocTuyen.Le@ttigroup.com.vn,BaoYen.Lam@ttigroup.com.vn;NgocTuyen.Le@ttigroup.com.vn,"TVN536636, Lam Bao Yen (VN.OP-SC)"
,10665,CENTURY CREATION (VIET NAM) COMPANY LIMITED,Henry.mai@centurycreation.com;century30@centurycreation.com;henry.mai@centurycreation.com;jane@centurycreation.com;jennie.huynh@centurycreation.com;sales@centurycreation.com;tina.huynh@centurycreation.com;ywgd@centurycreation.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;Anh.Trinh@ttigroup.com.vn,Anh.Trinh@ttigroup.com.vn,"TVN637647, Trinh Hoang Kim Anh (VN.OP-SC-PMC)"
,10888,CGH TECHNOLOGY (VIETNAM) COMPANY LIMITED,cx@chinacgh.com;fin02@cghvn.com;pm09@cghvn.com;qa01@cghvn.com;pmc08@cghvn.com,ThiHongDat.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiHongDat.Le@ttigroup.com.vn,"TVN592868, Le Thi Hong Dat (VN.OP-PMC)"
,11872,"CHOICE PRO-TECH CO., LTD",lythanhthaodntu@gmail.com;tridienchoicetape@gmail.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThiThuyDuong.Bui@ttigroup.com.vn,ThiThuyDuong.Bui@ttigroup.com.vn,"TVN525403, Bui Thi Thuy Duong (VN.OP-SC)"
,9921,CHUNTAI ADVANCED TECHNOLOGY DEVELOPMENT CO.LTD.(VIETNAM),ct_pmc@chuntaitech.com;ctvn_sales@chuntaitech.com;ct_sales@chuntaitech.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,11781,CLICK TECHNOLOGY (VIETNAM) COMPANY LIMITED,alextang@clickele.com; zhouhy@clicktec.net; justinpham@clicktec.net; VNSales@clicktec.net;PMCVN01@clicktec.net;PMCVN02@clicktec.net,ThiMinhNghia.Tran@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMinhNghia.Tran@ttigroup.com.vn,"TVN898, Tran Thi Minh Nghia"
,11883,CONG TY CO PHAN CO KHI CHINH XAC HAUTECH VIET NAM,ecovietnam.sales@gmail.com;phamtoanvcu@gmail.com;khsx@ecovn.vn;xnk@ecovn.vn;phamtoanvcu@gmail.com;planning4@hautech.com.vn;hiend2ql@gmail.com;lienht@ecovn.vn,VanDuc.Nguyen1@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,VanDuc.Nguyen1@ttigroup.com.vn,"TVN622655, Nguyen Van Duc (VN.OP-SUC)"
,10158,CONG TY TNHH ACE COLOR TECHNOLOGIES,Min.Duan@onlink-hk.com; libiyi@onlink-hk.com;cassie.chen@onlink-hk.com; zhengjie@onlink-hk.com; jade.yang@onlink-hk.com; joey.yang@onlink-hk.com; joyce.liu@onlink-hk.com;elisa.pei@onlink-hk.com; Wilson.Zhang@onlink-hk.com;kiki.wang@onlink-hk.com; shubo.xu@onlink-hk.com; pl.chen@onlink-hk.com; zhoubo@onlink-hk.com; ds.mao@onlink-hk.com; hp.lu@onlink-hk.com,HoMinhAnh.Vu@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,HoMinhAnh.Vu@ttigroup.com.vn,"TVN551766, Vu Ho Minh Anh (VN.OP-PMC)"
,11518,CONG TY TNHH BAO BI VAN LANG,315238228@qq.com;liyongshou1108@gmail.com;vanlangpacking@gmail.com;vanlangpackingco@gmail.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThiThuyDuong.Bui@ttigroup.com.vn,ThiThuyDuong.Bui@ttigroup.com.vn,"TVN525403, Bui Thi Thuy Duong (VN.OP-SC)"
,12517,CONG TY TNHH GREAT TANG MOTOR VIET NAM,Jimliu@honestmotor.cn; xiaocuiping@tangmotor.com; zhangagang@tangmotor.com; vivianzhang@honestmotor.cn; zhouyuxue@tangmotor.com; zhangyu@tangmotor.com; huangxuefeng@tangmotor.com; ciguozheng@tangmotor.com; wangyongxiang@tangmotor.com;chenyan@tangmotor.com;wanglihao@honestmotor.cn; nguyen.nhaquyen@tangmotor.com,ThiMai.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMai.Le@ttigroup.com.vn,"TVN514082, Le Thi Mai (VN.OP-SUC)"
,12089,CONG TY TNHH KHOA HOC VA CONG NGHE HYPER-LEAP,ctvn_sales@chuntaitech.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,9176,CONG TY TNHH KIEN XUONG,maxsfc@yahoo.com.tw; chidiep20@yahoo.com.vn; linhtuong574@gmail.com,ThanhYen.Tran@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThanhYen.Tran@ttigroup.com.vn,"TVN172, Tran Thanh Yen - TTIVN"
,12782,CONG TY TNHH QUANG KET,sales5@quangket.com; sales1@quangket.com,KhanhTuong.To@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,KhanhTuong.To@ttigroup.com.vn,"TVN505802, To Khanh Tuong"
,10279,KWONG TAT PRECISION METAL PRODUCT COMPANY LIMITED,regentvn@hotmail.com;vnrs03@regentspring.cn;vnrs06@regentspring.cn,Dang.Duong@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,Dang.Duong@ttigroup.com.vn,"TVN622650, Duong Nguyen Khanh Dang (VN.OP-SUC)"
,13376,CONG TY TNHH SAN XUAT NGU KIM TENGDA,tengren188@163.com;jczph188@163.com;qualitytengda@gmail.com;pmctengda@gmail.com;trcongyabu@163.com,VanDuc.Nguyen1@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,VanDuc.Nguyen1@ttigroup.com.vn,"TVN622655, Nguyen Van Duc (VN.OP-SUC)"
,11319,CONG TY TNHH TIAN-POWER TECHNOLOGY (VIET NAM), jazzie.nguyen@tian-power.com; kathy.kimphuong@tian-power.com; daont.cus@tian-power.com; hongfei.ma@tian-power.com; leihang.kang@tian-power.com; dongyuan.hou@tian-power.com; ,ThiMai.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMai.Le@ttigroup.com.vn,"TVN514082, Le Thi Mai (VN.OP-SUC)"
,12323,CONG TY TNHH WUERTH DICH VU CONG NGHIEP (VIET NAM),Van.Nguyen@wuerth-industry.vn; mi.tran@wuerth-industry.vn; lily.nguyen@wuerth-industry.vn; giang.bui@wuerth-industry.vn; xuan.nguyen@wuerth-industry.vn,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,12813,CORBIN INDUSTRY COMPANY LIMITED,pill@corbinvn.com.vn; kim@corbinvn.com.vn; nolin@corbinvn.com.vn; kayce@corbinvn.com.vn;KhanhTuong.To@ttigroup.com.vn,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,KhanhTuong.To@ttigroup.com.vn,"TVN505802, To Khanh Tuong"
,11194,"CREATIVE ENGINEERING CO., LTD.",tu.tran_bella@creativeengineering.net; duy.huynh_jacky@ce.com.vn; ngan.dang_kayla@ce.com.vn,KhanhTuong.To@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,KhanhTuong.To@ttigroup.com.vn,"TVN505802, To Khanh Tuong"
,9391,"CREST TOP VIET NAM CO., LTD",acc@cresttop.com.vn;peter@cresttop.com.vn;Quang Pham Van <peter@cresttop.com.vn>; lephiduc@cresttop.com.vn; quyetxuanmai <quyetxuanmai@yahoo.com.vn>;hanhnghiem14@gmail.com,ThiHongDat.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiHongDat.Le@ttigroup.com.vn,"TVN592868, Le Thi Hong Dat (VN.OP-PMC)"
,9826,CTY TNHH KY THUAT VA CONG NGHE LONG BAO VIET NAM,longbao@longbaochina.com; longbao01@longbaochina.com; jun.bao@longbaochina.com; 2643676077@qq.com; quachvuthanh1987@yahoo.com; peter.quach1987@gmail.com; sathish@longbaochina.com; ngan116127@gmail.com,ThiHongDat.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiHongDat.Le@ttigroup.com.vn,"TVN592868, Le Thi Hong Dat (VN.OP-PMC)"
,10524,CYBER CITY (ASIA) LIMITED,order@cyberprinting.com; sales@cyberprinting.com; hana.ng@cyberprinting.com;carol@cyberprinting.com; allen@cyberprinting.com; gon@cyberprinting.com,ThanhYen.Tran@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThanhYen.Tran@ttigroup.com.vn,"TVN172, Tran Thanh Yen - TTIVN"
,12168,D&S ELECTRONIC TECHNOLOGY VIETNAM COMPANY LIMITED,saldxg@ds-ele.com; adzyh@ds-ele.com; salzc@ds-ele.com; sallj@ds-ele.com; marian.pham@ds-ele.com; salpgy@ds-ele.com; lily.nguyen@ds-ele.com; salpcz@ds-ele.com; chenjian@ds-ele.com; ruanshiyanernv@ds-ele.com,ThiThanhMai.Vo@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiThanhMai.Vo@ttigroup.com.vn,"TVN536662, Vo Thi Thanh Mai (VN.OP-SC)"
,,DECH MANUFACTURING TRADE IMPORT EXPORT COMPANY LIMITED,dech11@163.com; dech869@gmail.com; tianwei68@163.com; liyongshou1108@gmail.com; szl0734@163.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,11466,DIEU THUAN PRECISION COMPANY LIMITED,sales@dieuthuan.com.vn; xnk@dieuthuan.com.vn; sales01@dieuthuan.com.vn; sales02@dieuthuan.com.vn,KhanhTuong.To@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,KhanhTuong.To@ttigroup.com.vn,"TVN505802, To Khanh Tuong"
,9780,"DUCAR TECHNOLOGY CO., LTD",Clarice.hu@ducar.com.cn;beverly.wan@ducar.com.cn;dtoanhship@ducar.com.cn;ducarsales02@ducar.com.cn;tina.wu@ducar.com.cn;tung.luong@ducar.com.cn;ducarsales03@ducar.com.cn,NgocHuy.Mai@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,NgocHuy.Mai@ttigroup.com.vn,"TVN568025, Mai Ngoc Huy (VN.OP-PMC)"
,12906,EAGLE VIET NAM SCREWS AND FASTENERS COMPANY LIMITED,sale03@eagle-screw.com.vn; sale02@eagle-screw.com.vn; Customs01@eagle-screw.com.vn; es-sal008@eagle-screw.com,BaoYen.Lam@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;NgocTuyen.Le@ttigroup.com.vn,BaoYen.Lam@ttigroup.com.vn;NgocTuyen.Le@ttigroup.com.vn,"TVN536636, Lam Bao Yen (VN.OP-SC)"
,10239,ECO VIET NAM JOINT STOCK COMPANY,ecovietnam.sales@gmail.com;phamtoanvcu@gmail.com;khsx@ecovn.vn;xnk@ecovn.vn; phamtoanvcu@gmail.com;kdt2@ecovn.vn;canhnn@ecovn.vn;kdt3@ecovn.vn;kdt3@ecovn.vn,VanDuc.Nguyen1@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,VanDuc.Nguyen1@ttigroup.com.vn,"TVN622655, Nguyen Van Duc (VN.OP-SUC)"
,10312,"ELMA VIETNAM INDUSTRIAL CO., LTD",lamhien@elmavn.com;asistant@elmavn.com;brucelee@elmavn.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,AnhThu.Nguyen1@ttigroup.com.vn,"TVN621316, Nguyen Anh Thu (VN.OP-SUC)"
,12345,ESSENCE FASTENER TECHNOLOGIES VIETNAM COMPANY LIMITED,ethancheng@efi.com.vn;qa@efi.com.vn;sales2@efi.com.vn;sales3@efi.com.vn,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,AnhThu.Nguyen1@ttigroup.com.vn,"TVN621316, Nguyen Anh Thu (VN.OP-SUC)"
,12002,EXPORT MECHANICAL TOOL STOCK COMPANY,hien.nt@emtc.com.vn; nn.hieu@emtc.com.vn; lk.huyen@emtc.com.vn; kd@emtc.com.vn; nd.nghia@emtc.com.vn; honamtrung@emtc.com.vn,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,9762,FABONI VIET NAM OIL CHEMICAL COMPANY LIMITED,fabonivn@163.com; dinvinh2303@gmail.com; wonglanqin99@126.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,10183,FANG DE (VIET NAM) ELECTRIC MACHINERY TECHNOLOGY COMPANY LIMITED,jiac.hu@fdm.com.cn; hao.zhou@fdm.com.cn; haib.fang@fdm.com.cn; yangq.jin@fdm.com.cn; lian.he@fdm.com.cn; fd_bgy@fdm.com.cn; yings.fan@fdm.com.cn,ThiMai.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMai.Le@ttigroup.com.vn,"TVN514082, Le Thi Mai (VN.OP-SUC)"
,11275,"FANCY INDUSTRY VIET NAM CO.,LTD",planner3.vn@fancy.net.cn;planner7.vn@fancy.net.cn,ThienAn.Phan@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThienAn.Phan@ttigroup.com.vn,"TVN524979, Phan Thien An (VN.OP-SC)"
,11813,FANS-TECH ELECTRIC (VIETNAM) COMPANY LIMITED,david@fans-tech.com;fabian.fu@fans-tech.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;HoangMinh.Phan@ttigroup.com.vn;HoangAnh.Truong@ttigroup.com.vn,HoangMinh.Phan@ttigroup.com.vn;HoangAnh.Truong@ttigroup.com.vn,"TVN547430, Phan Hoang Minh (VN.OP-PMC)"
,12351,FAVORATENG COMPANY LIMITED,coordinate02@favorateng-vn.com;coordinate01@favorateng-vn.com; rain@favorateng.com; buyer01@favorateng-vn.com;jeremy.huang@favorateng.com,HoangMinh.Phan@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,HoangMinh.Phan@ttigroup.com.vn,"TVN547430, Phan Hoang Minh (VN.OP-PMC)"
,12907,FRECOM VIET NAM COMPANY LIMITED,chenjie@frecom.com.cn; annewang@frecom.com.cn; jinlulu@frecom.com.cn; Lena.kuang@frecom.com.cn; frecom.log@gmail.com,ThiThanhMai.Vo@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiThanhMai.Vo@ttigroup.com.vn,"TVN536662, Vo Thi Thanh Mai (VN.OP-SC)"
,11335,FRANCOOL(VIET NAM)TECHNOLOGY COMPANY LIMITED,customsfrancoolvn@gmail.com; xiaoshou@francool.com; taikhoanhaiquanfrancool@gmail.com; intersales@francool.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,10300,FU YUAN VN COMPANY LIMITED,gnvina@gmail.com;liuyannan322@126.com,Dang.Duong@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,Dang.Duong@ttigroup.com.vn,"TVN622650, Duong Nguyen Khanh Dang (VN.OP-SUC)"
,12090,GAOKERUN VIET NAM ELECTRONIC TECHNOLOGY COMPANY LIMITED,josia.xia@goldcorolla.com; candy.tieu@goldcorolla.com; howard.chen@goldcorolla.com; fang.huang@goldcorolla.com; fang.huang@goldcorolla.com; miranda.he@goldcorolla.com; Alan.Ton@goldcorolla.com; longman.xiao@goldcorolla.com; bella.dinh@goldcorolla.com; vivien.shi@goldcorolla.com; dana.xie@goldcorolla.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;HoangMinh.Phan@ttigroup.com.vn;HoangAnh.Truong@ttigroup.com.vn,HoangMinh.Phan@ttigroup.com.vn;HoangAnh.Truong@ttigroup.com.vn,"TVN547430, Phan Hoang Minh (VN.OP-PMC)"
,12065,"FUJI SEIKO VIETNAM CO., LTD.",customs@fujiseiko.com.vn; huyennt@fujiseiko.com.vn; tony.sun@yufeng-group.com;  pham.ngocthu@fujiseiko.com.vn; yennth@fujiseiko.com.vn; yennth@fujiseiko.com.vn,BaoYen.Lam@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;NgocTuyen.Le@ttigroup.com.vn,BaoYen.Lam@ttigroup.com.vn;NgocTuyen.Le@ttigroup.com.vn,"TVN536636, Lam Bao Yen (VN.OP-SC)"
,10921,"GENBYTE TECHNOLOGY (VIETNAM) CO.,LTD",Allen.xu@genbytech.com; ada.zhong@genbytech.com; liuzeshuang@genbytech.com; dayong.yu@genbytech.com; ada.zhong@genbytech.com; marketing@genbytech.com; qibing.ding@genbytech.com; marketing@genbytech.com; ttisales1@genbytech.com; yuluan.li@genbytech.com; Kelly.Le@genbytech.com; vn-pmc.list@genbytech.com; chunyan.ding@genbytech.com; ting.duan@genbytech.com; ting.duan@genbytech.com,TienTrien.Pham@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,TienTrien.Pham@ttigroup.com.vn,"TVN533110, Pham Tien Trien (VN.OP-SC)"
,11569,GIGA ELECTRONICS (VIETNAM) COMPANY LIMITED,Ruanshiruyi@tenpao.com; zhongrongxiang@tenpao.com; oulili@tenpao.com; jessie@tenpao.com;fanwenyang@tenpao.com;ruanshicuiqiao@tenpao.com ,ThiMinhNghia.Tran@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMinhNghia.Tran@ttigroup.com.vn,"TVN898, Tran Thi Minh Nghia"
,12320,GENIUS WIN VIETNAM RUBBER AND PLASTIC PRODUCTS COMPANY LIMITED,lamenzhou@siruixs.com;ynhsl@siruixs.com;ynqe_eng@siruixs.com;yw8@siruixs.com;ynyw@siruixs.com,ThienAn.Phan@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThienAn.Phan@ttigroup.com.vn,"TVN524979, Phan Thien An (VN.OP-SC)"
,12493,GOODWIN TECHNOLOGY (VIETNAM)COMPANY LIMITED,michelle.zhong@tenpao.com; della.zeng@tenpao.com; Linda@tenpao.com; sucunming@tenpao.com; zhanghuijuan@tenpao.com;  zengjunxiang@tenpao.com; vn_linyajiao@tenpao.com; wonder@tenpao.com; canace@tenpao.com; canace@tenpao.com,ThiMai.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMai.Le@ttigroup.com.vn,"TVN514082, Le Thi Mai (VN.OP-SUC)"
